GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-26 04:00:00,2.42879,10.36683,6.81848,7.83689,0.17736,7.64279,0.03289,8.97522,0.02749,0.02022,0.00045,0,5.75289,16.56747,17.24811
2026-05-26 05:00:00,2.42715,9.89073,6.84794,7.86293,0.17729,7.67846,0.03288,9.00984,0.02748,0.02022,0.00045,0,5.58372,16.56656,17.26112
2026-05-26 06:00:00,2.42669,9.77118,6.87697,7.88825,0.1772,7.71386,0.03287,9.04342,0.02747,0.02021,0.00045,0,5.54077,16.5663,17.2772
2026-05-26 07:00:00,2.42831,10.25712,6.90558,7.9129,0.17712,7.74897,0.03287,9.07599,0.02747,0.0202,0.00045,0,5.71416,16.5672,17.29646
2026-05-26 08:00:00,2.43059,11.53093,6.93383,7.93712,0.17704,7.78359,0.03286,9.10853,0.02746,0.02019,0.00045,0,6.14959,16.56847,17.3181
2026-05-26 09:00:00,2.43185,12.78114,6.9617,7.96105,0.17696,7.81757,0.03285,9.14115,0.02745,0.02018,0.00045,0,6.56333,16.56917,17.34089
2026-05-26 10:00:00,2.43298,13.8399,6.98932,7.98512,0.17689,7.85101,0.03286,9.17363,0.02744,0.02017,0.00045,0,6.9085,16.5698,17.36389
2026-05-26 11:00:00,2.43341,14.2757,7.01732,8.01005,0.17681,7.88413,0.03286,9.20587,0.02743,0.02016,0.00045,0,7.04782,16.57004,17.38662
2026-05-26 12:00:00,2.43322,14.13645,7.04592,8.03621,0.17672,7.91703,0.03285,9.23778,0.02742,0.02015,0.00045,0,7.00347,16.56994,17.40865
2026-05-26 13:00:00,2.43269,13.68598,7.07539,8.0637,0.17665,7.94971,0.03285,9.2693,0.02741,0.02014,0.00045,0,6.85892,16.56964,17.42966
2026-05-26 14:00:00,2.43193,13.03495,7.10556,8.09238,0.17658,7.98213,0.03285,9.30041,0.0274,0.02013,0.00045,0,6.64697,16.56922,17.44951
2026-05-26 15:00:00,2.43104,12.28098,7.13624,8.1219,0.17651,8.01426,0.03284,9.33113,0.02739,0.02012,0.00045,0,6.39674,16.56872,17.46814
2026-05-26 16:00:00,2.43032,11.57453,7.16736,8.15189,0.17643,8.04604,0.03284,9.36156,0.02738,0.02011,0.00045,0,6.16407,16.56832,17.48547
2026-05-26 17:00:00,2.42946,10.74746,7.19877,8.18193,0.17637,8.07746,0.03283,9.39196,0.02737,0.0201,0.00045,0,5.8858,16.56784,17.50149
2026-05-26 18:00:00,2.42775,10.21753,7.23027,8.21181,0.17631,8.10854,0.03283,9.42258,0.02736,0.02009,0.00045,0,5.70015,16.56689,17.51625
2026-05-26 19:00:00,2.42728,10.08811,7.26176,8.24129,0.17627,8.1394,0.03282,9.45363,0.02736,0.02008,0.00045,0,5.6542,16.56663,17.52974
2026-05-26 20:00:00,2.42831,10.40582,7.29324,8.27024,0.17626,8.17018,0.03282,9.4852,0.02735,0.02007,0.00045,0,5.76661,16.5672,17.54286
